loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,loan_status
15607.064635047138,36,14.993404874581069,A,8,MORTGAGE,38376.26928211887,credit_card,8.428599528808007,0,1,10,0,35908.57070280001,66.03520588964716,18,Joint App,1
38077.857949986734,60,19.934935450251885,A,5,RENT,45505.1428704818,credit_card,33.124853846624944,0,4,6,0,23285.530293703876,50.46132146994894,18,Individual,1
29547.763730644798,60,16.253335613126662,C,7,MORTGAGE,31027.87577119046,debt_consolidation,22.08046162292064,1,2,10,0,19182.488252253137,48.717742392855854,30,Individual,0
24347.68088368443,60,6.666051662235928,F,2,MORTGAGE,48942.35266479269,credit_card,20.462646434948283,0,0,10,0,14442.397539795948,3.0175899499382597,22,Individual,0
7084.726977255024,36,8.711604735671107,C,7,RENT,26126.576538283127,medical,24.54479925006741,0,1,11,2,12771.529735152753,65.72247743016514,18,Individual,1
7083.786293111903,60,9.386563680618384,A,10,OWN,11513.051707772149,other,25.256655415867257,1,1,7,0,7465.667288063316,36.32263253413524,21,Joint App,1
3265.260874559779,60,10.157285072896897,B,8,MORTGAGE,40515.55303578939,debt_consolidation,22.333373551939424,0,0,14,0,10925.733847683627,63.503555089039445,23,Individual,1
34780.869685222475,36,16.308067839010086,B,6,RENT,31600.020182880395,major_purchase,28.057168295167724,0,1,10,1,37339.49303197993,79.71077377347785,20,Individual,1
24443.48545798514,36,15.07931559650787,B,3,MORTGAGE,38665.210128344675,major_purchase,14.320635257278877,1,0,16,1,4034.6664061424285,92.49335369791417,21,Individual,1
28614.830534045774,36,9.06320076728418,A,5,RENT,53652.77334493044,debt_consolidation,32.42900777406891,2,1,7,0,34352.269470028674,37.79744325243216,20,Individual,0
1802.7952775362955,36,6.351096869113741,E,5,MORTGAGE,32351.782361378875,debt_consolidation,8.848197315423644,0,1,8,0,13611.928777950854,35.93359788020629,26,Individual,1
38826.48423431778,60,8.428644089494362,C,1,MORTGAGE,19730.699830748355,credit_card,28.573610128261222,0,0,12,0,42470.7680964553,96.65661950630059,28,Individual,1
33465.26299121645,36,24.687626252372066,C,1,MORTGAGE,27018.350628408065,credit_card,15.416667134327774,2,0,14,0,36714.077228269314,96.27729348960237,24,Individual,1
9281.22531645277,60,14.370938995829444,A,10,OWN,73717.62696732266,home_improvement,27.794452051161095,0,2,6,0,9955.294122935964,84.46262872517606,21,Joint App,1
8091.173721076924,36,22.34691009404225,A,4,RENT,45220.0098322214,debt_consolidation,1.2969355854117248,2,2,8,1,36730.09499405546,74.10582702784805,26,Individual,1
8152.7758842839185,36,21.975049333376866,C,0,RENT,65000.176129437175,debt_consolidation,15.61172692479083,0,0,10,0,27658.333013966614,13.893125261732553,16,Individual,0
12865.447475421972,60,15.230391149257475,E,4,OWN,28530.657994079225,debt_consolidation,38.524868463838345,0,3,10,0,34705.282072529015,37.64329219883776,20,Individual,1
21465.500833657276,60,19.13375416921087,C,9,MORTGAGE,52430.882049688,debt_consolidation,22.91469062400646,0,1,9,0,3828.2726789881426,1.0823841338645779,25,Joint App,1
17845.855727042515,60,8.855040208254245,E,2,MORTGAGE,58892.314647617604,debt_consolidation,19.972577109438475,1,0,7,1,26304.120068245335,92.82634227090242,21,Individual,0
12357.936467723635,36,18.767934098538166,D,2,OWN,16846.502121197558,credit_card,9.897662774468694,1,1,8,0,12442.66347419552,80.36543647869775,28,Individual,0
24862.2628941728,36,10.44769158526579,A,7,MORTGAGE,42085.13276102623,credit_card,19.659626826133866,1,1,7,0,45652.83805799034,51.47296279941161,24,Joint App,1
6440.260565429631,60,21.641241935083016,B,10,MORTGAGE,40075.148392446645,debt_consolidation,32.93633220402433,0,1,11,1,23866.327512152315,86.55749678543563,21,Individual,1
12393.641292873508,60,6.674482662178198,C,2,MORTGAGE,20199.527054037557,credit_card,13.537389859226288,0,0,16,0,47606.92541540733,78.35520666982426,20,Individual,1
15288.111888453976,36,20.462773457705552,B,2,MORTGAGE,20285.860959432994,debt_consolidation,22.595299938852975,0,3,4,0,35569.59820290345,24.157913989689273,17,Individual,1
18786.7293844644,60,6.998738131372391,B,0,OWN,100767.26668038576,credit_card,26.942223006308147,0,1,7,1,662.7809372581062,30.185162717124758,22,Individual,1
31621.86249432753,60,22.62378473788618,B,7,OWN,39555.88958241617,debt_consolidation,16.034960506772627,0,0,8,0,4644.120816712055,80.67768244679144,27,Individual,0
8787.277504176029,36,11.084090362700074,B,9,MORTGAGE,68315.70742216553,debt_consolidation,11.321567190161916,1,4,11,1,47894.39016349304,54.47596784442369,14,Individual,1
21055.14309813085,60,18.087867296611496,E,9,MORTGAGE,52541.43461761675,debt_consolidation,6.222882154399461,0,0,11,1,16933.68232887887,59.277348860340076,15,Individual,1
24104.168185619656,36,14.750045572405597,A,5,RENT,37272.45254335666,debt_consolidation,4.047657054798077,0,1,10,1,19551.16055511371,10.917805038510464,20,Individual,1
2811.5660960799114,36,12.32606290524678,B,10,OWN,21879.54063801852,credit_card,9.643969382459012,1,2,10,0,9094.738213679266,28.38737707888681,13,Individual,1
24694.249224156098,36,17.90883666366993,C,7,MORTGAGE,50257.19019467069,major_purchase,0.7816094861585388,2,0,13,0,723.8357175987364,10.189525691981128,17,Individual,1
7650.44082380437,60,23.95045961102476,C,2,MORTGAGE,36481.89568235719,credit_card,30.40665110263668,1,1,7,0,4835.47394553519,46.01971767213848,19,Individual,0
3537.012126425901,60,5.825394947492438,C,10,OWN,39415.672315569085,home_improvement,4.470752304268091,1,0,9,0,302.59922531366556,40.071987229824245,22,Joint App,1
38006.535952879996,60,23.377057117662087,F,5,RENT,41642.405964757076,debt_consolidation,35.95927179561558,2,0,5,0,46789.20306422591,98.30874497401282,26,Individual,0
38659.649289907815,60,17.18163310042027,D,1,MORTGAGE,43366.21000886102,major_purchase,20.428318068619138,0,2,20,0,35457.16600947262,30.101146105486297,23,Individual,1
32527.496576541984,36,21.146286015381047,C,2,MORTGAGE,47680.66839688157,debt_consolidation,18.278313726609696,0,0,7,0,12889.364942556309,24.6170395207186,20,Individual,1
12879.936997761457,36,12.677499068685552,B,3,OWN,23078.343601958466,debt_consolidation,2.591268034468257,0,2,7,0,12354.945432084474,18.751787459397907,23,Individual,1
4809.212446248971,60,14.436859496752275,C,8,MORTGAGE,51616.49185201216,other,5.333235322514169,0,1,11,0,20371.40021934397,20.13997391168475,13,Individual,1
27685.08803397412,60,22.37701503602328,C,3,MORTGAGE,52429.33461717233,debt_consolidation,34.270310439833914,0,2,14,0,15368.869265573954,33.44165810887554,28,Individual,1
18165.94725584445,60,13.296959396196462,D,6,MORTGAGE,40275.09397985602,debt_consolidation,26.910850674635746,1,0,8,0,41339.5849150127,47.521214211312866,19,Individual,0
5759.4911589463745,60,15.6931913349817,F,7,RENT,49121.974102805274,home_improvement,3.781508383432781,0,5,10,2,3423.1539024346057,28.412731984796235,25,Individual,0
20311.899494339537,36,5.4038984616866585,C,4,MORTGAGE,74720.8031428748,car,27.24676683346953,0,1,8,0,8378.67299706002,18.38482823384543,24,Individual,1
2341.1523234935175,60,8.171960116760847,C,1,MORTGAGE,55479.461490465255,debt_consolidation,5.238201475486166,0,2,10,0,28979.852439022707,62.718165166370696,20,Individual,1
36463.4956810725,36,17.833730159495996,A,10,RENT,20462.503051362284,home_improvement,29.30454767829257,0,1,6,0,16083.16504423571,52.8406362394952,18,Individual,1
11092.41928240066,60,19.33953802127754,A,7,RENT,27743.35063174912,home_improvement,37.78262970229577,0,1,13,0,6963.024551881536,31.01734744559912,18,Individual,0
26838.369089805296,60,16.65201873568999,A,4,RENT,33033.74143380345,home_improvement,30.333949689340646,0,1,9,0,39355.41583948453,4.754844173749751,13,Individual,1
13156.731967487027,60,7.866200725512213,A,4,OWN,27041.367966883194,car,32.952445792557675,1,0,12,0,11051.00933276409,38.64985377115347,17,Individual,1
21282.652825934623,36,13.908108571556696,B,6,RENT,18144.405155106626,debt_consolidation,24.82464132608351,1,0,12,0,47625.83451094426,12.315909554746352,17,Joint App,1
22321.700894387905,60,12.101895327263797,B,5,MORTGAGE,58139.49441840032,home_improvement,0.1485390238683948,1,0,6,0,14893.558555341086,99.9952618922117,22,Individual,1
