loan_id,loan_amount,default_prob,interest_rate,loan_grade,loan_purpose,annual_income,employment_length,home_ownership,credit_score,risk_grade,risk_description,expected_loss,monthly_payment
LC000001,16236.203565420874,0.2961476061569421,17.70336899602176,D,credit_card,22531.9808255097,3,MORTGAGE,687,C,Medium Risk,2163.74076853929,584.5644575161581
LC000002,33521.42919229748,0.18422183152286822,23.68468645082246,A,home_improvement,47056.74416965202,8,RENT,748,B,Low-Medium Risk,2778.9205864811324,1309.5979844960302
LC000003,26959.818254342154,0.2866646918023449,22.412734251710045,B,other,28195.156009458122,9,OWN,692,C,Medium Risk,3477.7925959177014,1035.3730455591815
LC000004,22959.7545259111,0.21677540749928886,13.90435189448731,B,home_improvement,33197.92697900757,2,MORTGAGE,730,C,Medium Risk,2239.6995645471093,783.6438073351708
LC000005,9680.559213273096,0.053858074558362654,6.719063519149698,D,credit_card,56790.04852020353,6,RENT,820,A,Low Risk,234.61932594379812,297.6656807037374
LC000006,9679.83561008608,0.1426556441825909,12.521282820003687,D,debt_consolidation,24756.385571514445,6,RENT,771,B,Low-Medium Risk,621.3974330422858,323.9244182276614
LC000007,6742.508365045984,0.33562863594623366,20.87502560880999,C,debt_consolidation,31816.078387088313,9,MORTGAGE,665,D,Medium-High Risk,1018.3404984374041,253.5920182432925
LC000008,30985.284373248054,0.14563612467075743,18.62698382637299,A,debt_consolidation,43602.945877242935,3,RENT,769,B,Low-Medium Risk,2030.6595320735514,1129.9620050112699
LC000009,23033.450352296266,0.4153966489563892,14.268185800691215,C,credit_card,13755.803677663604,1,RENT,621,D,Medium-High Risk,4305.608140611254,790.2322981347157
LC000010,26242.177333881365,0.34436683693711506,6.99182763285896,B,credit_card,11020.883429660833,10,MORTGAGE,660,D,Medium-High Risk,4066.6210212652118,810.1842002927054
LC000011,5617.534828874073,0.16365932918933138,13.684105100819448,B,credit_card,43176.8030854028,8,OWN,759,B,Low-Medium Risk,413.71289180605635,191.13327023377428
LC000012,34097.29556485983,0.1388301876571152,14.442448914921902,A,home_improvement,46444.212506705815,3,MORTGAGE,773,B,Low-Medium Risk,2130.1802738413253,1172.7054379233386
LC000013,29973.27922401265,0.08118842310039777,22.713999592094446,A,credit_card,101936.98094197692,7,MORTGAGE,805,A,Low Risk,1095.0674739054757,1155.7940847594755
LC000014,11370.173320348284,0.08499205247093548,17.53954986447887,C,debt_consolidation,39302.65834489314,1,RENT,803,A,Low Risk,434.86846535100244,408.4374424486718
LC000015,10454.74901621302,0.14591041014400846,11.60975249978368,B,debt_consolidation,54713.72432241783,7,RENT,769,B,Low-Medium Risk,686.4555226087398,345.3018384557725
LC000016,10502.135295603013,0.10569915178957062,15.455728760112985,B,home_improvement,32934.09354682383,10,RENT,791,B,Low-Medium Risk,499.5300567260475,366.4081218353647
LC000017,14127.267288786132,0.16294705806345733,7.1889955407988815,B,home_improvement,42134.13972104723,9,RENT,760,B,Low-Medium Risk,1035.8984894327168,437.43079876383
LC000018,20742.692948967135,0.31682893691822867,23.50622824169526,D,home_improvement,83585.75759597705,4,MORTGAGE,675,D,Medium-High Risk,2957.348410129123,808.4270378240767
LC000019,17958.350559263476,0.21364522101857675,12.481078234753069,C,debt_consolidation,12556.623709368963,6,MORTGAGE,732,C,Medium Risk,1726.5220984633172,600.6089641967073
LC000020,13736.874205941258,0.28346633663989174,14.601612388436445,A,other,44658.865801875356,6,OWN,694,C,Medium Risk,1752.2736336185358,473.51767041122883
LC000021,23355.586841671386,0.1507248711805314,12.395111536264608,A,debt_consolidation,105640.10549507395,8,RENT,767,B,Low-Medium Risk,1584.1205181254852,780.1545807028336
LC000022,9184.815819561256,0.23210858812374432,18.285211142091605,A,debt_consolidation,41815.28031987854,2,RENT,722,C,Medium Risk,959.3435844247477,333.36869786721485
LC000023,13764.339456056545,0.14210042306767323,17.920178849932675,D,other,82891.39049397003,9,OWN,771,B,Low-Medium Risk,880.1633069787162,497.06286323015735
LC000024,15990.855298810751,0.1701632831069419,18.875801589524443,B,debt_consolidation,26513.09193428939,3,OWN,756,B,Low-Medium Risk,1224.4753968001542,585.1574628450518
LC000025,18682.099526511076,0.4617584956537369,10.826578133014575,B,credit_card,35738.22963452544,9,RENT,596,D,Medium-High Risk,3881.9781778568154,610.0948221678303
LC000026,28555.27884179041,0.1252101027313379,11.682032660953187,B,debt_consolidation,36929.36641026514,3,MORTGAGE,781,B,Low-Medium Risk,1608.9342287861593,944.113107993035
LC000027,10990.213464750792,0.22917560582936947,8.254522159731742,B,credit_card,11982.52311770173,9,RENT,723,C,Medium Risk,1133.4099730402604,345.6852322501014
LC000028,20427.03315240835,0.09916516070510949,17.799179493230028,C,other,20250.020524199743,4,RENT,795,A,Low Risk,911.5425113792279,736.4299637063294
LC000029,22772.437065861275,0.45243228984359074,6.716348292041745,B,debt_consolidation,20984.984986083913,5,MORTGAGE,601,D,Medium-High Risk,4636.343631162005,700.1971528098653
LC000030,6393.512381599932,0.10392827467918668,16.758282039422262,A,credit_card,54777.40328133953,2,RENT,792,B,Low-Medium Risk,299.01001993186446,227.17776306899373
LC000031,23226.34555704315,0.0993020468619985,21.65452592732941,A,debt_consolidation,56166.54381544967,3,OWN,795,A,Low Risk,1037.8906447223114,882.8789363254438
LC000032,10115.723710618746,0.3629775140535798,22.0349786692134,B,credit_card,42702.73383274267,2,RENT,650,D,Medium-High Risk,1652.3011103999609,386.50714612136983
LC000033,6951.547789558385,0.25857041423394517,14.08267968665931,D,debt_consolidation,54833.21752043285,1,RENT,707,C,Medium Risk,808.85906618093,237.86667374685635
LC000034,33466.5661176,0.1654041361492497,14.267466387835327,B,debt_consolidation,33453.954963156866,9,RENT,759,B,Low-Medium Risk,2490.9788063535198,1148.160223841128
LC000035,33968.96099223678,0.26884300097186387,7.385445294144312,D,debt_consolidation,66235.10144900884,8,MORTGAGE,702,C,Medium Risk,4109.542835872104,1054.8596705335267
LC000036,29251.920443493833,0.17583988510091747,18.073770457974643,C,debt_consolidation,36475.43215562623,0,OWN,753,B,Low-Medium Risk,2314.6444483943105,1058.6098354509843
LC000037,14138.41307520112,0.12835569792514318,20.78266956671122,A,other,37381.53046959955,1,MORTGAGE,779,B,Low-Medium Risk,816.6356450196344,531.0893229062207
LC000038,7930.163420191517,0.15254113566253577,10.403790982884836,A,debt_consolidation,31799.431249382913,7,OWN,766,B,Low-Medium Risk,544.3542603474807,257.3900822307792
LC000039,25526.990795364705,0.42958858175454423,13.583415869400564,A,debt_consolidation,51135.039147851174,6,OWN,613,D,Medium-High Risk,4934.746697508913,867.2960485525704
LC000040,18204.57481218804,0.3289519534690451,21.099108061774864,C,credit_card,29419.13499228806,0,RENT,669,D,Medium-High Risk,2694.793700944184,686.7852860012383
LC000041,8661.147045343365,0.22808492393691573,21.788168417921185,A,debt_consolidation,59172.7072626993,4,RENT,724,C,Medium Risk,888.9646792696128,329.8247370907419
LC000042,19855.307303338108,0.19356603196324285,10.377239644756067,B,home_improvement,20618.116904095903,9,RENT,743,B,Low-Medium Risk,1729.490871653079,644.1972834351731
LC000043,6031.655633456552,0.12839127873781647,15.910271421744556,B,other,20963.57889436251,5,RENT,779,B,Low-Medium Risk,348.4853908585385,211.78801576442734
LC000044,32279.612062363463,0.14613659796327816,9.464876711444887,C,credit_card,51211.19182966063,4,OWN,769,B,Low-Medium Risk,2122.754710665687,1033.4812874326517
LC000045,12763.399448000508,0.268395560384503,7.833817754512018,A,home_improvement,34742.808943765536,3,RENT,702,C,Medium Risk,1541.5378862658088,398.9807897252333
LC000046,24875.66853061946,0.06357579390583536,22.400169025055234,B,credit_card,28942.150082762317,0,RENT,815,A,Low Risk,711.6706690976417,955.1705329113926
LC000047,14351.332282682328,0.046102979947352546,20.769135076177967,B,debt_consolidation,56671.62175279203,6,RENT,824,A,Low Risk,297.7376330008335,538.9877700334371
LC000048,20602.040635334324,0.2641616777155537,19.68062823245713,B,credit_card,26805.685592085578,8,OWN,704,C,Medium Risk,2449.0213283672674,762.2972377653183
